"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"2477","2014","4","1","TRUE","FALSE","FALSE","FALSE","TRUE","medium","medium","low","6"
"2478","2016","5","2","FALSE","FALSE","FALSE","FALSE","FALSE","medium","medium","medium","6"
"2479","2013","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","5"
"2480","2014","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","8"
"2481","2014","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","low","7"
"2482","2017","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2483","2014","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2484","2016","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","7"
"2485","2014","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"2486","2015","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","low","medium","6"
"2487","2019","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","5"
"2488","2014","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","high","8"
"2489","2015","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","low","low","6"
"2490","2015","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","high","high","medium","6"
"2491","2014","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","6"
"2492","2019","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","6"
"2493","2017","4","4","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2494","2015","3","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","6"
"2495","2014","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","high","7"
"2496","2013","3","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2497","2018","3","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","low","5"
"2498","2013","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","high","high","high","6"
"2499","2016","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","5"
"2500","2015","5","0","TRUE","FALSE","FALSE","TRUE","FALSE","medium","low","low","4"
"2501","2013","5","1","TRUE","TRUE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2502","2017","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","medium","high","high","6"
