"","title","domestic","budget","averageRating","numVotes","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"1533","You, Me and Dupree",75628110,5.4e+07,5.6,80259,2006,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1534","Freedom Writers",36605602,2.1e+07,7.6,75017,2007,"PG-13",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",8
"1535","Piranha 3D",25003155,2.4e+07,5.4,88528,2010,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",5
"1536","American Dreamz",7191830,1.7e+07,5.4,24641,2006,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",5
"1537","Igor",19528602,2.5e+07,6,23108,2008,"PG",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","low",6
"1538","Push",31811527,3.8e+07,6.1,108603,2009,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"1539","Shoot 'Em Up",12807139,3.9e+07,6.6,147895,2007,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",7
"1540","Date Movie",48548426,2e+07,2.8,58709,2006,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",3
"1541","ATL",21170563,2e+07,6.2,11275,2006,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"1542","The Omen",54607383,2.5e+07,5.5,58208,2006,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",6
"1543","Max Payne",40689393,3.5e+07,5.3,124488,2008,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",5
"1544","The Other Boleyn Girl",26814957,3.5e+07,6.7,108902,2008,"PG-13",2,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"1545","Juno",143495265,7500000,7.4,504826,2007,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","low","high",7
"1546","The Dark Knight",535234033,1.85e+08,9,2438268,2008,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",9
"1547","The Astronaut Farmer",11003643,1.3e+07,6.3,22561,2006,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"1548","There Will Be Blood",40222514,2.5e+07,8.2,548997,2007,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","high",8
"1549","World Trade Center",70278893,6.5e+07,5.9,81994,2006,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"1550","The Express",9793406,4e+07,7.3,20878,2008,"PG",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",7
"1551","Ex Machina",25442958,1.5e+07,7.7,506331,2014,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","high",8
"1552","Tower Heist",78046570,7.5e+07,6.2,138992,2011,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"1553","9",31749894,3e+07,7.1,136834,2009,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"1554","Apocalypto",50866635,4e+07,7.8,301234,2006,"R",0,TRUE,FALSE,TRUE,TRUE,TRUE,"medium","medium","high",8
"1555","Charlie Wilson's War",66661095,7.5e+07,7,114953,2007,"R",2,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","high","medium",7
"1556","The Smurfs",142614158,1.1e+08,5.4,87343,2011,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",5
"1557","Notorious",36843682,2e+07,6.7,42587,2009,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",7
"1558","The Mechanic",29121498,4e+07,6.6,156605,2011,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"1559","Crossover",7009668,5800000,2.2,9190,2006,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",2
"1560","Prince of Persia: The Sands of Time",90759676,2e+08,6.6,280662,2010,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1561","United 93",31483450,1.5e+07,7.6,103617,2006,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",8
"1562","Hail, Caesar!",30498085,2.2e+07,6.3,129446,2016,"PG-13",3,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1563","Smokin' Aces",35787686,1.7e+07,6.7,142073,2006,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"1564","Norbit",95673607,6e+07,4.1,72121,2007,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",4
"1565","Premonition",47852604,2e+07,5.9,75832,2007,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1566","Unstoppable",81562942,1e+08,6.8,191831,2010,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",7
"1567","21",81159365,3.5e+07,6.8,239543,2008,"PG-13",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","high",7
"1568","The Tree of Life",13303319,3.2e+07,6.8,172714,2011,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","medium",7
"1569","Knocked Up",148768917,3e+07,6.9,359977,2007,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"1570","Ant-Man",180202163,1.3e+08,7.3,612881,2015,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1571","Rocky Balboa",70270943,2.4e+07,7.1,210465,2006,"PG",1,TRUE,FALSE,TRUE,FALSE,TRUE,"medium","medium","high",7
"1572","Crank",27838408,1.2e+07,6.9,242632,2006,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","high",7
"1573","Madagascar: Escape 2 Africa",180010950,1.5e+08,6.6,215693,2008,"PG",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1574","One Missed Call",26890041,2e+07,4,31828,2008,"PG-13",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","low",4
"1575","Season of the Witch",24827228,4e+07,5.4,92621,2011,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",5
"1576","Atlas Shrugged: Part I",4627375,2e+07,5.6,13546,2011,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"1577","I Am Legend",256393010,1.5e+08,7.2,717612,2007,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1578","The Losers",23591432,2.5e+07,6.3,98125,2010,"PG-13",3,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1579","Hall Pass",45060734,3.6e+07,5.8,123053,2011,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1580","The Number 23",35193167,3e+07,6.4,198082,2007,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",6
"1581","The Croods",187168425,1.35e+08,7.2,203318,2013,"PG",2,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1582","Harold & Kumar Escape from Guantanamo Bay",38108728,1.2e+07,6.6,134288,2008,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"1583","Bella",8070537,3300000,7.1,10620,2006,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"1584","The Prestige",53089891,4e+07,8.5,1253714,2006,"PG-13",3,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",8
"1585","Pride and Glory",15740721,3e+07,6.6,60397,2008,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","medium","medium",7
"1586","Space Chimps",30105968,3.7e+07,4.5,11399,2008,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",4
"1587","The Strangers",52597610,9e+06,6.2,125672,2008,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","low","medium",6
"1588","Red Tails",49876377,5.8e+07,5.9,34760,2012,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"1589","Fly Me to the Moon 3D",13816982,2.5e+07,4.5,4470,2008,"G",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",4
"1590","Fantastic 4: Rise of the Silver Surfer",131921738,1.3e+08,5.6,257718,2007,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"1591","Stardust",38634938,7e+07,7.6,264160,2007,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","high","high",8
"1592","Disturbia",80209692,2e+07,6.8,229884,2007,"PG-13",1,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","high",7
"1593","Unaccompanied Minors",16655224,2.5e+07,5.3,10916,2006,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
