"","title","domestic","budget","averageRating","numVotes","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"1","Back to the Future Part III",88277583,4e+07,7.4,424282,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"2","The Bonfire of the Vanities",15691192,4.7e+07,5.6,24376,1990,"R",2,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"3","Dances with Wolves",184208848,2.2e+07,8,251703,1990,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",8
"4","Dick Tracy",103738726,4.7e+07,6.1,59981,1990,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"5","Die Hard 2",117540947,7e+07,7.1,348886,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"6","Flight of the Intruder",14587732,3.5e+07,5.8,6842,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"7","Ghost",217631306,2.2e+07,7.1,207191,1990,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",7
"8","The Godfather: Part III",66666062,5.4e+07,7.6,377343,1990,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","high",8
"9","Havana",9243140,4e+07,6.1,7777,1990,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"10","Home Alone",285761243,1.8e+07,7.6,511525,1990,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","high",8
"11","The Hunt for Red October",122012643,3e+07,7.6,189679,1990,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",8
"12","Kindergarten Cop",91457688,1.5e+07,6.2,143093,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","medium",6
"13","Lionheart",24078196,6e+06,6.2,34945,1990,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"14","Metropolitan",2960492,230000,7.4,10721,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"15","Paris Is Burning",3905297,5e+05,8.2,14288,1990,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","low",8
"16","Pretty Woman",178406268,1.4e+07,7.1,306338,1990,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","low","high",7
"17","Teenage Mutant Ninja Turtles",135265915,13500000,6.8,89649,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","low","medium",7
"18","Total Recall",119412921,6.5e+07,7.5,316308,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"19","The Addams Family",113502426,3e+07,6.9,146308,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"20","Another You",2865916,1.7e+07,5.4,3885,1991,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",5
"21","Beauty and the Beast",218967620,2.5e+07,8,429990,1991,NA,0,TRUE,FALSE,FALSE,TRUE,FALSE,"high","medium","high",8
"22","Billy Bathgate",15565363,4.8e+07,5.9,11768,1991,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",6
"23","Boyz n the Hood",57504069,6500000,7.8,133889,1991,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","low","medium",8
"24","City Slickers",124033791,2.7e+07,6.8,53410,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"25","City of Hope",1345015,3e+06,7.3,2449,1991,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",7
"26","Delirious",5546827,1.8e+07,5.9,8327,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"27","Dutch",4603929,1.7e+07,6.5,12246,1991,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"28","Eve of Destruction",5451119,1.3e+07,4.9,2217,1991,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",5
"29","For the Boys",17860280,4e+07,6.4,5549,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"30","Freddy's Dead: The Final Nightmare",34872033,1.1e+07,4.9,44501,1991,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","low","medium",5
"31","Harley Davidson and the Marlboro Man",7434726,2.3e+07,6.1,19630,1991,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"32","Hook",119654823,7e+07,6.8,244072,1991,NA,2,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","high",7
"33","Hot Shots!",69467617,2.6e+07,6.8,104122,1991,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"34","House Party 2",19438638,5e+06,5.3,6415,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",5
"35","Hudson Hawk",17218080,6.5e+07,5.8,54736,1991,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","medium",6
"36","Jungle Fever",32482682,1.4e+07,6.6,18027,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"37","Life Stinks",4102526,1.3e+07,5.9,10185,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"38","Madonna: Truth or Dare",15012935,4500000,6.4,9258,1991,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","low",6
"39","Mannequin: On the Move",3752428,1.3e+07,4.4,6162,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",4
"40","The Marrying Man",12454768,2.6e+07,5.8,5526,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"41","My Girl",59489799,1.7e+07,6.9,76937,1991,"PG",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",7
"42","The Naked Gun 2½: The Smell of Fear",86930411,2.3e+07,6.9,109824,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"43","New Jack City",47624353,8e+06,6.7,33895,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"44","Nothing But Trouble",8479793,4e+07,5.1,23796,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"45","Out for Justice",39673161,1.4e+07,6.1,22879,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"46","Rambling Rose",6266621,7500000,6.6,4874,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"47","Return to the Blue Lagoon",2807854,1.1e+07,5.2,19303,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",5
"48","Robin Hood: Prince of Thieves",165493908,4.8e+07,6.9,186420,1991,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",7
"49","The Rocketeer",46704056,3.5e+07,6.5,55809,1991,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"50","Run",4409328,1.6e+07,6.2,2773,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"51","Scenes from a Mall",9563393,3e+06,5.4,4901,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",5
"52","The Silence of the Lambs",130742922,1.9e+07,8.6,1341886,1991,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,"high","medium","high",9
"53","Slacker",1228108,23000,7.1,20934,1990,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"54","Sleeping with the Enemy",101599005,1.9e+07,6.3,54345,1991,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"55","The Super",11000863,2.2e+07,5.7,5607,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"56","Teenage Mutant Ninja Turtles II: The Secret of the Ooze",78656813,2.5e+07,6,53942,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"57","Terminator 2: Judgment Day",205881154,1.02e+08,8.5,1039543,1991,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","high",8
"58","Thelma & Louise",45360915,16500000,7.5,145613,1991,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",8
"59","True Identity",4693236,1.5e+07,5.1,1221,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",5
"60","White Fang",34793160,1.4e+07,6.7,20414,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"61","1492: Conquest of Paradise",7191399,4.7e+07,6.5,29454,1992,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"62","Aladdin",217350219,2.8e+07,8,388990,1992,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"63","Alien 3",55473545,5e+07,6.5,289000,1992,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",6
"64","Basic Instinct",117727224,4.9e+07,7,190111,1992,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"65","Batman Returns",162902340,8e+07,7,286971,1992,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"66","Boomerang",70052444,4.2e+07,5.6,28697,1992,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"67","Bram Stoker's Dracula",82522790,4e+07,7.4,205897,1992,"R",2,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","high",7
"68","Christopher Columbus: The Discovery",8251071,4e+07,4.5,2957,1992,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",4
"69","Death Becomes Her",58422650,5.5e+07,6.6,112673,1992,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"70","Far and Away",58883840,6e+07,6.6,61622,1992,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"71","A Few Good Men",141340178,4.1e+07,7.7,248888,1992,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",8
"72","Honeymoon in Vegas",35208854,2.5e+07,5.8,17633,1992,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"73","The Last of the Mohicans",75505856,4e+07,7.7,160603,1992,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",8
"74","The Lawnmower Man",32100816,1e+07,5.4,35226,1992,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","low","low",5
"75","A League of Their Own",107533928,4e+07,7.3,99898,1992,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",7
"76","Lethal Weapon 3",144731527,3.5e+07,6.7,162884,1992,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",7
"77","Medicine Man",45500797,4e+07,6.1,22693,1992,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"78","The Mighty Ducks",50752337,1e+07,6.6,63664,1992,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"79","The Muppet Christmas Carol",27281507,1.2e+07,7.7,52202,1992,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",8
"80","Newsies",2819485,1.5e+07,6.9,20041,1992,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"81","Patriot Games",83351587,4.5e+07,6.9,108164,1992,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"82","The People Under the Stairs",24204154,6e+06,6.4,33581,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"83","Peter's Friends",4058564,5e+06,7,11017,1992,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"84","Red Rock West",2502551,8e+06,7,21489,1993,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",7
"85","Reservoir Dogs",2832029,1200000,8.3,963975,1992,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","high",8
"86","Shadows and Fog",2735731,1.4e+07,6.7,16889,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"87","The Twin Dragons",8359717,1e+07,6.5,11478,1992,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"88","Wayne's World",121697323,2e+07,7,150592,1992,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"89","The Age of Innocence",32255440,3.4e+07,7.2,57080,1993,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"90","Being Human",1519366,4e+07,5.4,4009,1994,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"91","Body of Evidence",13273595,3e+07,4.5,14847,1992,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",4
"92","Carlito's Way",36948322,3e+07,7.9,209712,1993,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","high",8
"93","Cliffhanger",84049211,7e+07,6.4,125260,1993,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","high","medium",6
"94","Cool Runnings",68856263,1.4e+07,7,98449,1993,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"95","For Love or Money",11146270,3e+07,6.2,13822,1993,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"96","Fortress",6739141,8e+06,5.9,28370,1992,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"97","Geronimo: An American Legend",18635620,3.5e+07,6.5,10549,1993,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"98","Heaven & Earth",5864949,3.3e+07,6.8,13930,1993,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"99","The House of the Spirits",6265311,4e+07,6.9,22217,1993,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"100","The Wedding Banquet",6933459,1e+06,7.6,14929,1993,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",8
"101","In the Line of Fire",102314823,4e+07,7.2,99073,1993,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"102","Jurassic Park",402828120,6.3e+07,8.1,915435,1993,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"103","Last Action Hero",50016394,8.5e+07,6.4,145222,1993,"PG-13",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","high","medium",6
"104","Mrs. Doubtfire",219195243,2.5e+07,7,257557,1993,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"105","Much Ado About Nothing",22549338,1.1e+07,7.3,46835,1993,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",7
"106","The Nutcracker",2119994,1.9e+07,5.9,1977,1993,NA,0,TRUE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",6
"107","Philadelphia",77446440,2.6e+07,7.7,233129,1993,"PG-13",2,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","high",8
"108","RoboCop 3",10696210,2.2e+07,4.1,49009,1993,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","medium",4
"109","Schindler's List",96898818,2.2e+07,8.9,1274770,1993,"R",2,TRUE,FALSE,FALSE,TRUE,FALSE,"high","medium","high",9
"110","Shadowlands",25842377,2.2e+07,7.3,18218,1993,"PG",1,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","low",7
"111","Iron Monkey",14694904,1.1e+07,7.5,16049,1993,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",8
"112","Sleepless in Seattle",126808165,2.1e+07,6.8,168037,1993,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"113","Super Mario Bros.",20915465,4.8e+07,4.1,52383,1993,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",4
"114","Teenage Mutant Ninja Turtles III",42273609,2.1e+07,4.8,32270,1993,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",5
"115","Wayne's World 2",48197805,4e+07,6.2,80224,1993,"PG-13",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"116","Ace Ventura: Pet Detective",72217396,1.5e+07,6.9,288780,1994,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","high",7
"117","Baby's Day Out",16827402,4.8e+07,6.2,48807,1994,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",6
"118","Beverly Hills Cop III",42614912,5e+07,5.6,79545,1994,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"119","Clear and Present Danger",122187717,6.2e+07,6.9,95515,1994,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"120","Clerks",3151130,27000,7.7,217080,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","high",8
"121","Color of Night",19726050,4e+07,5.2,23573,1994,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","low",5
"122","Death and the Maiden",3103716,1.2e+07,7.3,24039,1994,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"123","Disclosure",83015089,5.5e+07,6.1,48625,1994,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"124","Drop Zone",28735315,4.5e+07,5.6,20034,1994,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"125","Dumb and Dumber",127175374,1.7e+07,7.3,368352,1994,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","high",7
"126","Ed Wood",5887457,1.8e+07,7.8,171390,1994,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","medium",8
"127","The Flintstones",130531208,4.6e+07,4.9,79003,1994,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",5
"128","Forrest Gump",330455270,5.5e+07,8.8,1920652,1994,"PG-13",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",9
"129","Four Weddings and a Funeral",52700832,4400000,7.1,146317,1994,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",7
"130","Mary Shelley's Frankenstein",22006296,4.5e+07,6.4,53693,1994,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"131","Heavenly Creatures",3049135,5e+06,7.3,62086,1994,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"low","low","medium",7
"132","The Hudsucker Proxy",2816518,4e+07,7.2,79355,1994,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",7
"133","I'll Do Anything",10424645,4e+07,5.6,2636,1994,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"134","I.Q.",26381221,2.5e+07,6.2,24742,1994,"PG",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"135","Interview with the Vampire: The Vampire Chronicles",105264608,6e+07,7.5,306149,1994,"R",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"136","Jimmy Hollywood",3783003,3e+07,5.3,3280,1994,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",5
"137","Junior",36763355,6e+07,4.7,67347,1994,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",5
"138","The Lion King",422783777,4.5e+07,8.5,990164,1994,"G",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"139","Little Women",50083616,1.8e+07,7.3,55390,1994,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"140","Love Affair",18272894,6e+07,6,4687,1994,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"141","The Mask",119938730,2.3e+07,6.9,365192,1994,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"142","Muriel's Wedding",15119639,9e+06,7.2,37398,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","medium",7
"143","Naked Gun 33 1/3: The Final Insult",51132598,3e+07,6.5,101261,1994,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"144","Natural Born Killers",50282766,3.4e+07,7.3,225831,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",7
"145","North",7182747,4e+07,4.5,13809,1994,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",4
"146","On Deadly Ground",38590458,5e+07,4.6,23298,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",5
"147","Pulp Fiction",107928762,8e+06,8.9,1922137,1994,"R",3,FALSE,FALSE,FALSE,TRUE,FALSE,"high","low","high",9
"148","Ri¢hie Ri¢h",38087756,4e+07,5.4,66829,1994,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",5
"149","The Santa Clause",144833357,2.2e+07,6.5,104473,1994,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"150","Serial Mom",7820688,1.3e+07,6.8,28696,1994,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"151","Shallow Grave",2079569,2500000,7.3,59340,1994,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","medium",7
"152","The Shawshank Redemption",28699976,2.5e+07,9.3,2484038,1994,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","high",9
"153","Silent Fall",3180674,3e+07,5.9,3858,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"154","Spanking the Monkey",1359736,2e+05,6.3,6235,1994,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"155","The Specialist",57362582,4.5e+07,5.6,64535,1994,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"156","Speed",121248145,3e+07,7.2,346403,1994,"R",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"157","Star Trek: Generations",75671125,3.5e+07,6.6,79550,1994,"PG",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"158","Street Fighter",33423521,3.5e+07,4,69689,1994,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",4
"159","Tall Tale",8247627,3.2e+07,5.9,3703,1995,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"160","Terminal Velocity",16487349,5e+07,5.5,13458,1994,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"161","True Lies",146282411,1.15e+08,7.2,248656,1994,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"162","The Legend of Drunken Master",11555430,1e+07,7.6,44694,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","medium",8
"163","Wyatt Earp",25052000,6.3e+07,6.7,48257,1994,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"164","Assassins",30303072,5e+07,6.3,80714,1995,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"165","Bad Boys",65807024,1.9e+07,6.9,252145,1995,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",7
"166","Batman Forever",184069126,1e+08,5.4,242427,1995,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",5
"167","Before Sunrise",5535405,2500000,8.1,288925,1995,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","high",8
"168","Billy Madison",25588734,1e+07,6.4,137914,1995,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",6
"169","Braveheart",75609945,7.2e+07,8.3,993242,1995,"R",1,FALSE,FALSE,TRUE,FALSE,FALSE,"medium","high","high",8
"170","The Bridges of Madison County",71516617,2.4e+07,7.6,77627,1995,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",8
"171","The Brothers McMullen",10426506,238000,6.6,7777,1995,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"172","The City of Lost Children",1738611,1.8e+07,7.5,66913,1995,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"low","low","medium",8
"173","Cutthroat Island",10017322,9.8e+07,5.7,27395,1995,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","high","low",6
"174","Die Hard with a Vengeance",100012499,9e+07,7.6,375130,1995,"R",2,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",8
"175","Don Juan DeMarco",22150451,2.5e+07,6.7,49824,1994,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"176","Fair Game",11534477,5e+07,4.3,12704,1995,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",4
"177","Friday",27467564,3500000,7.3,106544,1995,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"178","Rumble in the Bronx",32392047,7500000,6.8,41048,1995,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"179","In the Mouth of Madness",8924549,8e+06,7.2,65995,1994,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","medium",7
"180","Johnny Mnemonic",19075720,2.6e+07,5.7,69343,1995,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"181","Judge Dredd",34693481,9e+07,5.6,114782,1995,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"182","Jumanji",100499940,6.5e+07,7,325789,1995,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"183","Kids",7412216,1500000,7.1,76172,1995,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","medium",7
"184","Nixon",13681765,4.4e+07,7.1,30154,1995,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",7
"185","The Perez Family",2832826,1.1e+07,6,2253,1995,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"186","The Quick and the Dead",18636537,3.2e+07,6.5,89941,1995,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"187","Restoration",4005941,1.9e+07,6.6,9322,1995,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",7
"188","Sabrina",53672080,5.8e+07,6.3,39011,1995,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"189","The Scarlet Letter",10382407,4.6e+07,5.3,15025,1995,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"190","Se7en",100125643,3.3e+07,8.6,1529135,1995,"R",2,FALSE,FALSE,FALSE,TRUE,FALSE,"high","medium","high",9
"191","Showgirls",20350754,4.5e+07,4.9,65396,1995,"NC-17",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",5
